Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Started in,Number of Presenters,Male Presenters,Female Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
1,ARRCOATSurfaceTextures,11,33,20-Dec-21,04-Feb-22,03-Jan-22,Investment Paane Ka Sapna,Rannvijay Singh,Manufacturing,Wall Building Surface Textures,2019,3,3,0,0,Middle,Delhi,Delhi,0,6,0,20,0,no,0,no,funded,50,5,1000,Yes,Yes,50,15,0,0,333,1,yes,No,0,0,0,0,0,0,0,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,Farda,11,34,20-Dec-21,04-Feb-22,03-Jan-22,Investment Paane Ka Sapna,Rannvijay Singh,Beauty/Fashion,Customised Streetwear,2021,2,1,1,0,Young,Nagpur,Maharashtra,0,0.32,115,0,0,no,0,no,funded,30,10,300,Yes,Yes,30,20,0,0,150,2,no,No,0,15,10,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,Auli,12,35,20-Dec-21,04-Feb-22,04-Jan-22,Ek Idea Aur Uske Do Sides,Rannvijay Singh,Beauty/Fashion,Ayurvedic Products Skincare Lifestyle,2017,1,0,1,0,Middle,Kolkata,West Bengal,250,16,80,10,0,no,0,no,funded,75,4,1875,Yes,Yes,75,15,0,0,500,1,no,No,0,75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,SweeDesi,12,36,20-Dec-21,04-Feb-22,04-Jan-22,Ek Idea Aur Uske Do Sides,Rannvijay Singh,Food,Indian Sweets Online,2018,2,1,1,1,Middle,Pune,Maharashtra,0,0,0,0,0,no,0,no,funded,40,3,1333,No,No,0,0,0,0,0,0,no,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,LOKA,12,37,20-Dec-21,04-Feb-22,04-Jan-22,Ek Idea Aur Uske Do Sides,Rannvijay Singh,Technology/Software,Metaverse App,2020,1,1,0,0,Young,Delhi,Delhi,0,0,0,0,0,no,0,no,funded,40,5,800,Yes,Yes,40,24,0,0,167,3,no,No,0,0,0,0,0,0,0,13.33,8,0,13.33,8,0,13.33,8,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,Annie,13,38,20-Dec-21,04-Feb-22,05-Jan-22,Ideas By Young Entrepreneurs,Rannvijay Singh,Education,Thinkerbell labs Braille Literary Device,2016,4,3,1,1,Young,Bangalore,Karnataka,500,4,50,0,0,no,0,no,funded,30,0.5,6000,Yes,Yes,105,3,0,0,3500,3,no,No,0,35,1,0,0,0,0,35,1,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,Carragreen,13,39,20-Dec-21,04-Feb-22,05-Jan-22,Ideas By Young Entrepreneurs,Rannvijay Singh,Manufacturing,Eco-Friendly boxes,2018,2,0,2,0,Middle,Indore,Madhya Pradesh,0,0,0,0,0,no,0,yes,funded,50,10,500,Yes,Yes,50,20,0,0,250,2,no,No,0,0,0,0,0,0,0,25,10,0,0,0,0,25,10,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,TheYarnBazaar,13,40,20-Dec-21,04-Feb-22,05-Jan-22,Ideas By Young Entrepreneurs,Rannvijay Singh,Manufacturing,Yarn-Trading App Online Marketplace for Yarn,2019,1,1,0,0,Middle,Mumbai,Maharashtra,180,0,0,0,0,no,0,no,funded,50,2,2500,Yes,Yes,100,10,0,0,1000,4,no,No,0,0,0,0,0,0,0,25,2.5,0,25,2.5,0,25,2.5,0,0,0,0,0,0,0,25,2.5,0,Ashneer Grover,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,TheRenalProject,14,41,20-Dec-21,04-Feb-22,06-Jan-22,Naye Aur Nayab Pitchers,Rannvijay Singh,Medical/Health,Home Dialysis Treatment,2019,1,1,0,0,Middle,Mumbai,Maharashtra,300,0,0,0,0,no,0,no,funded,100,3,3333,Yes,Yes,100,6,0,0,1667,2,no,No,0,50,3,0,0,0,0,0,0,0,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,MorrikoPureFoods,14,42,20-Dec-21,04-Feb-22,06-Jan-22,Naye Aur Nayab Pitchers,Rannvijay Singh,Food,Healthy Food Snacks Kamdhenu foods,2018,3,2,1,0,Middle,Valsad,Gujarat,0,16,0,0,0,no,0,no,funded,100,3,3333,Yes,No,0,0,0,0,0,0,no,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,GoodGoodPiggy,14,43,20-Dec-21,04-Feb-22,06-Jan-22,Naye Aur Nayab Pitchers,Rannvijay Singh,Technology/Software,Digital Piggy Bank,2021,2,0,2,0,Young,Delhi,Delhi,0,0,0,0,0,no,0,no,funded,45,5,900,No,No,0,0,0,0,0,0,no,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,HammerLifestyle,15,44,20-Dec-21,04-Feb-22,07-Jan-22,It's Time To Change,Rannvijay Singh,Electronics,Smart Audio Products,2019,3,3,0,0,Young,Panipat,Haryana,1000,0,0,0,0,no,14,no,funded,30,3,1000,Yes,Yes,100,40,0,0,250,1,no,No,0,0,0,0,0,0,0,0,0,0,100,40,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,PNTRobotics,15,45,20-Dec-21,04-Feb-22,07-Jan-22,It's Time To Change,Rannvijay Singh,Technology/Software,Robotics and Automation Solutions,2021,2,2,0,0,Young,Mumbai,Maharashtra,0,0,0,0,0,no,0,no,funded,50,4,1250,Yes,Yes,25,25,25,0,100,1,yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
